Place,Div,Age,Sex,City,State,Guntime,Nettime,Pace,Delta,Deltadiv,Race Distance,Race Day
341,M25-29,29,M,Nashua,NH,7:06,06:53.2,6:54,3:04,2:33,1 mile,1/1/2019
342,F12,12,F,Nashua,NH,7:22,06:53.5,6:54,3:04,0:53,1 mile,1/1/2019
343,F11,11,F,Hudson,NH,6:59,06:53.7,6:54,3:04,1:32,1 mile,1/1/2019
344,F13-19,19,F,Nashua,NH,7:11,06:53.8,6:54,3:04,1:50,1 mile,1/1/2019
345,M40-44,41,M,Nashua,NH,7:12,06:54.2,6:55,3:05,2:40,1 mile,1/1/2019
346,M20-24,22,M,New London,NH,7:25,06:54.3,6:55,3:05,2:41,1 mile,1/1/2019
347,F11,11,F,Fremont,NH,6:57,06:54.6,6:55,3:05,1:33,1 mile,1/1/2019
348,F13-19,14,F,Hinsdale,NH,6:58,06:54.6,6:55,3:05,1:51,1 mile,1/1/2019
349,F40-44,44,F,Epsom,NH,7:01,06:54.6,6:55,3:05,1:08,1 mile,1/1/2019
350,F13-19,15,F,Weare,NH,7:04,06:55.0,6:55,3:05,1:51,1 mile,1/1/2019
351,F40-44,42,F,Merrimack,NH,7:19,06:55.0,6:55,3:05,1:08,1 mile,1/1/2019
352,F30-34,31,F,Merrimack,NH,7:15,06:55.6,6:56,3:06,1:43,1 mile,1/1/2019
353,M11,11,M,Londonderry,NH,7:06,06:55.8,6:56,3:06,1:33,1 mile,1/1/2019
354,F13-19,17,F,Deerfield,NH,7:11,06:55.9,6:56,3:06,1:52,1 mile,1/1/2019
355,F13-19,16,F,New Boston,NH,7:13,06:56.1,6:57,3:07,1:53,1 mile,1/1/2019
356,F13-19,16,F,Tewksbury,MA,7:14,06:56.5,6:57,3:07,1:53,1 mile,1/1/2019
357,M55-59,56,M,Bedford,NH,7:15,06:56.6,6:57,3:07,1:40,1 mile,1/1/2019
358,F45-49,46,F,Nashua,NH,7:18,06:56.7,6:57,3:07,0:23,1 mile,1/1/2019
359,F13-19,15,F,New Boston,NH,7:11,06:57.0,6:57,3:07,1:53,1 mile,1/1/2019
360,F40-44,43,F,New Boston,NH,7:11,06:57.3,6:58,3:08,1:11,1 mile,1/1/2019
361,F40-44,41,F,Litchfield,NH,7:15,06:57.4,6:58,3:08,1:11,1 mile,1/1/2019
362,M50-54,52,M,Manchester,NH,7:20,06:57.5,6:58,3:08,2:24,1 mile,1/1/2019
363,M45-49,47,M,Londonderry,NH,7:25,06:57.8,6:58,3:08,2:30,1 mile,1/1/2019
364,M55-59,59,M,Goffstown,NH,7:06,06:58.0,6:58,3:08,1:41,1 mile,1/1/2019
365,F35-39,37,F,Litchfield,NH,7:12,06:58.0,6:58,3:08,1:35,1 mile,1/1/2019
366,M35-39,37,M,Rindge,NH,7:11,06:58.1,6:59,3:09,2:23,1 mile,1/1/2019
367,M50-54,54,M,Manchester,NH,7:10,06:58.5,6:59,3:09,2:25,1 mile,1/1/2019
368,M40-44,42,M,Nashua,NH,7:18,06:58.9,6:59,3:09,2:44,1 mile,1/1/2019
369,M40-44,41,M,Goffstown,NH,7:09,06:59.2,7:00,3:10,2:45,1 mile,1/1/2019
370,F35-39,37,F,Pembroke,NH,7:14,06:59.6,7:00,3:10,1:37,1 mile,1/1/2019
