Place,Div,Age,Sex,City,State,Guntime,Nettime,Pace,Delta,Deltadiv,Race Distance,Race Day
775,F55-59,55,F,Boscawen,NH,8:33,08:28.8,8:29,4:39,2:34,1 mile,1/1/2019
776,F40-44,43,F,Milford,NH,10:04,08:28.9,8:29,4:39,2:42,1 mile,1/1/2019
777,F30-34,34,F,Concord,NH,9:31,08:28.9,8:29,4:39,3:16,1 mile,1/1/2019
778,F40-44,41,F,Windham,NH,9:05,08:29.0,8:29,4:39,2:42,1 mile,1/1/2019
779,F35-39,37,F,Weare,NH,9:07,08:29.6,8:30,4:40,3:07,1 mile,1/1/2019
780,F30-34,34,F,Bedford,NH,8:55,08:30.2,8:31,4:41,3:18,1 mile,1/1/2019
781,M8,8,M,Merrimack,NH,9:04,08:30.4,8:31,4:41,1:27,1 mile,1/1/2019
782,F45-49,47,F,Londonderry,NH,8:58,08:30.4,8:31,4:41,1:57,1 mile,1/1/2019
783,F35-39,38,F,Merrimack,NH,9:04,08:30.4,8:31,4:41,3:08,1 mile,1/1/2019
784,F11,11,F,Londonderry,NH,8:46,08:30.5,8:31,4:41,3:09,1 mile,1/1/2019
785,F11,11,F,Nashua,NH,8:55,08:30.6,8:31,4:41,3:09,1 mile,1/1/2019
786,M45-49,48,M,Manchester,NH,8:50,08:30.7,8:31,4:41,4:03,1 mile,1/1/2019
787,F40-44,41,F,North Andover,MA,9:00,08:31.1,8:32,4:42,2:45,1 mile,1/1/2019
788,M11,11,M,Manchester,NH,8:45,08:31.7,8:32,4:42,3:09,1 mile,1/1/2019
789,M30-34,30,M,Manchester,NH,9:34,08:32.1,8:33,4:43,4:19,1 mile,1/1/2019
790,F40-44,41,F,Loudon,NH,8:45,08:32.4,8:33,4:43,2:46,1 mile,1/1/2019
791,F35-39,39,F,Mont Vernon,NH,9:10,08:32.5,8:33,4:43,3:10,1 mile,1/1/2019
792,F60-64,61,F,Nashua,NH,9:02,08:32.8,8:33,4:43,1:19,1 mile,1/1/2019
793,M35-39,38,M,Manchester,NH,9:12,08:33.1,8:34,4:44,3:58,1 mile,1/1/2019
794,F30-34,31,F,Manchester,NH,9:36,08:33.8,8:34,4:44,3:21,1 mile,1/1/2019
795,F50-54,51,F,Pelham,NH,9:03,08:34.1,8:35,4:45,2:46,1 mile,1/1/2019
796,F35-39,37,F,Raymond,NH,9:09,08:34.1,8:35,4:45,3:12,1 mile,1/1/2019
797,F45-49,47,F,Manchester,NH,8:41,08:34.2,8:35,4:45,2:01,1 mile,1/1/2019
798,M65-69,65,M,Derry,NH,9:17,08:34.3,8:35,4:45,2:56,1 mile,1/1/2019
799,F50-54,51,F,Manchester,NH,9:58,08:34.4,8:35,4:45,2:46,1 mile,1/1/2019
800,F40-44,41,F,Weare,NH,9:09,08:34.7,8:35,4:45,2:48,1 mile,1/1/2019
801,M40-44,43,M,Nashua,NH,9:00,08:35.1,8:36,4:46,4:21,1 mile,1/1/2019
802,F60-64,62,F,Mason,NH,9:29,08:35.1,8:36,4:46,1:22,1 mile,1/1/2019
803,F30-34,33,F,Manchester,NH,9:20,08:36.2,8:37,4:47,3:24,1 mile,1/1/2019
804,M10,10,M,Bedford,NH,9:00,08:36.4,8:37,4:47,2:40,1 mile,1/1/2019
805,M10,10,M,Bedford,NH,9:01,08:37.1,8:38,4:48,2:41,1 mile,1/1/2019
806,F60-64,60,F,Concord,NH,8:43,08:37.4,8:38,4:48,1:24,1 mile,1/1/2019
807,F40-44,42,F,Nashua,NH,9:07,08:37.5,8:38,4:48,2:51,1 mile,1/1/2019
808,M45-49,48,M,Contoocook,NH,9:10,08:37.7,8:38,4:48,4:10,1 mile,1/1/2019
809,F50-54,50,F,Litchfield,NH,8:54,08:37.9,8:38,4:48,2:49,1 mile,1/1/2019
810,F55-59,59,F,Bedford,NH,9:40,08:38.4,8:39,4:49,2:44,1 mile,1/1/2019
811,F45-49,45,F,Derry,NH,8:53,08:38.5,8:39,4:49,2:05,1 mile,1/1/2019
812,M50-54,54,M,Nashua,NH,9:33,08:38.8,8:39,4:49,4:05,1 mile,1/1/2019
813,F8,8,F,Nashua,NH,9:08,08:38.8,8:39,4:49,3:00,1 mile,1/1/2019
814,M20-24,23,M,Exeter,NH,9:28,08:38.8,8:39,4:49,4:25,1 mile,1/1/2019
815,F30-34,31,F,Manchester,NH,9:15,08:39.1,8:40,4:50,3:27,1 mile,1/1/2019
816,F25-29,29,F,Merrimack,NH,9:44,08:39.2,8:40,4:50,3:36,1 mile,1/1/2019
817,M13-19,15,M,Antrim,NH,9:54,08:39.4,8:40,4:50,4:34,1 mile,1/1/2019
818,M40-44,44,M,Merrimack,NH,9:37,08:39.7,8:40,4:50,4:25,1 mile,1/1/2019
819,M40-44,44,M,Manchester,NH,9:16,08:39.9,8:40,4:50,4:25,1 mile,1/1/2019
820,F25-29,25,F,Baltimore,MD,9:10,08:40.1,8:41,4:51,3:37,1 mile,1/1/2019
821,F40-44,42,F,Hampstead,NH,9:18,08:40.4,8:41,4:51,2:54,1 mile,1/1/2019
822,M12,12,M,Methuen,MA,8:55,08:40.6,8:41,4:51,3:18,1 mile,1/1/2019
823,F30-34,32,F,Goffstown,NH,9:45,08:40.8,8:41,4:51,3:28,1 mile,1/1/2019
824,F50-54,52,F,Bedford,NH,9:13,08:41.2,8:42,4:52,2:53,1 mile,1/1/2019
825,M40-44,44,M,Londonderry,NH,8:53,08:41.5,8:42,4:52,4:27,1 mile,1/1/2019
826,F30-34,31,F,Sandown,NH,8:58,08:42.0,8:42,4:52,3:29,1 mile,1/1/2019
827,F35-39,37,F,Candia,NH,9:02,08:42.1,8:43,4:53,3:20,1 mile,1/1/2019
828,F30-34,30,F,Manchester,NH,9:33,08:42.2,8:43,4:53,3:30,1 mile,1/1/2019
829,F6,6,F,Londonderry,NH,9:15,08:42.7,8:43,4:53,0:24,1 mile,1/1/2019
830,F45-49,48,F,Pembroke,NH,9:20,08:42.9,8:43,4:53,2:09,1 mile,1/1/2019
831,F40-44,41,F,Penacook,NH,8:59,08:43.0,8:43,4:53,2:56,1 mile,1/1/2019
832,F35-39,38,F,Londonderry,NH,9:24,08:43.1,8:44,4:54,3:21,1 mile,1/1/2019
833,M13-19,13,M,Belmont,NH,9:11,08:43.5,8:44,4:54,4:38,1 mile,1/1/2019
834,F35-39,38,F,Londonderry,NH,9:16,08:43.5,8:44,4:54,3:21,1 mile,1/1/2019
835,F60-64,61,F,Manchester,NH,9:11,08:43.7,8:44,4:54,1:30,1 mile,1/1/2019
836,F50-54,53,F,Manchester,NH,9:19,08:43.8,8:44,4:54,2:55,1 mile,1/1/2019
837,F35-39,38,F,Goffstown,NH,9:44,08:43.8,8:44,4:54,3:21,1 mile,1/1/2019
838,M40-44,43,M,Candia,NH,9:27,08:44.0,8:44,4:54,4:29,1 mile,1/1/2019
839,F30-34,33,F,Bedford,NH,8:54,08:44.1,8:45,4:55,3:32,1 mile,1/1/2019
840,M9,9,M,Londonderry,NH,8:56,08:44.2,8:45,4:55,3:10,1 mile,1/1/2019
841,F35-39,38,F,Methuen,MA,8:58,08:44.3,8:45,4:55,3:22,1 mile,1/1/2019
842,F45-49,46,F,Goffstown,NH,9:44,08:44.5,8:45,4:55,2:11,1 mile,1/1/2019
843,F45-49,45,F,Candia,NH,9:27,08:44.5,8:45,4:55,2:11,1 mile,1/1/2019
844,M60-64,61,M,Woburn,MA,9:06,08:44.6,8:45,4:55,3:09,1 mile,1/1/2019
845,F45-49,48,F,Candia,NH,9:22,08:45.0,8:45,4:55,2:11,1 mile,1/1/2019
846,M35-39,37,M,Londonderry,NH,9:19,08:45.1,8:46,4:56,4:10,1 mile,1/1/2019
847,F50-54,54,F,Londonderry,NH,9:22,08:45.3,8:46,4:56,2:57,1 mile,1/1/2019
848,F45-49,45,F,Bedford,NH,9:26,08:45.7,8:46,4:56,2:12,1 mile,1/1/2019
849,M7,7,M,Londonderry,NH,9:19,08:45.9,8:46,4:56,1:22,1 mile,1/1/2019
850,F45-49,49,F,Hopkinton,NH,9:17,08:46.1,8:47,4:57,2:13,1 mile,1/1/2019
851,M35-39,39,M,Nashua,NH,9:05,08:46.4,8:47,4:57,4:11,1 mile,1/1/2019
852,F65-69,67,F,New Hampton,NH,9:29,08:46.4,8:47,4:57,2:02,1 mile,1/1/2019
853,F45-49,47,F,Manchester,NH,8:55,08:46.7,8:47,4:57,2:13,1 mile,1/1/2019
854,M13-19,14,M,Manchester,NH,9:08,08:46.7,8:47,4:57,4:41,1 mile,1/1/2019
855,M45-49,47,M,Prescott,ON,9:07,08:46.8,8:47,4:57,4:19,1 mile,1/1/2019
856,F45-49,45,F,Derry,NH,8:57,08:47.0,8:47,4:57,2:13,1 mile,1/1/2019
857,M55-59,57,M,Londonderry,NH,8:58,08:47.1,8:48,4:58,3:31,1 mile,1/1/2019
858,F45-49,48,F,Prescott,ON,9:08,08:47.2,8:48,4:58,2:14,1 mile,1/1/2019
859,M7,7,M,Derry,NH,9:41,08:47.5,8:48,4:58,1:24,1 mile,1/1/2019
860,F50-54,50,F,New Boston,NH,9:33,08:47.6,8:48,4:58,2:59,1 mile,1/1/2019
861,M45-49,48,M,Auburn,NH,9:27,08:48.0,8:48,4:58,4:20,1 mile,1/1/2019
862,F10,10,F,Manchester,NH,9:32,08:48.7,8:49,4:59,2:06,1 mile,1/1/2019
863,F50-54,50,F,Pepperell,MA,9:27,08:48.8,8:49,4:59,3:00,1 mile,1/1/2019
864,M20-24,22,M,Windham,NH,9:40,08:49.0,8:49,4:59,4:35,1 mile,1/1/2019
865,F40-44,43,F,Manchester,NH,9:15,08:49.3,8:50,5:00,3:03,1 mile,1/1/2019
866,F30-34,33,F,Londonderry,NH,9:30,08:49.4,8:50,5:00,3:37,1 mile,1/1/2019
867,M40-44,41,M,Manchester,NH,9:10,08:49.4,8:50,5:00,4:35,1 mile,1/1/2019
868,F40-44,41,F,Manchester,NH,9:10,08:49.7,8:50,5:00,3:03,1 mile,1/1/2019
869,F60-64,60,F,Pembroke,NH,9:23,08:50.1,8:51,5:01,1:37,1 mile,1/1/2019
870,F25-29,27,F,Sandown,NH,9:42,08:50.3,8:51,5:01,3:47,1 mile,1/1/2019
871,M30-34,33,M,Derry,NH,9:45,08:50.3,8:51,5:01,4:37,1 mile,1/1/2019
872,M50-54,50,M,Londonderry,NH,9:26,08:51.2,8:52,5:02,4:18,1 mile,1/1/2019
873,F40-44,41,F,Nashua,NH,9:43,08:51.4,8:52,5:02,3:05,1 mile,1/1/2019
874,F30-34,32,F,Epping,NH,9:56,08:51.5,8:52,5:02,3:39,1 mile,1/1/2019
875,F45-49,46,F,Londonderry,NH,9:26,08:51.7,8:52,5:02,2:18,1 mile,1/1/2019
876,F40-44,42,F,Farmington,NH,9:24,08:52.5,8:53,5:03,3:06,1 mile,1/1/2019
877,M8,8,M,Windham,NH,9:53,08:52.6,8:53,5:03,1:49,1 mile,1/1/2019
878,F40-44,44,F,Hudson,NH,9:06,08:52.7,8:53,5:03,3:06,1 mile,1/1/2019
879,F40-44,41,F,Sanbornton,NH,10:14,08:52.7,8:53,5:03,3:06,1 mile,1/1/2019
880,F45-49,48,F,Goffstown,NH,9:14,08:53.6,8:54,5:04,2:20,1 mile,1/1/2019
881,F35-39,35,F,Rochester,NH,10:10,08:53.6,8:54,5:04,3:31,1 mile,1/1/2019
882,F55-59,55,F,Merrimack,NH,9:33,08:53.9,8:54,5:04,2:59,1 mile,1/1/2019
883,M8,8,M,Manchester,NH,9:21,08:54.1,8:55,5:05,1:51,1 mile,1/1/2019
884,F35-39,35,F,Hampstead,NH,9:25,08:54.1,8:55,5:05,3:32,1 mile,1/1/2019
885,M30-34,34,M,Hampstead,NH,9:25,08:54.3,8:55,5:05,4:41,1 mile,1/1/2019
886,F45-49,49,F,Epsom,NH,9:35,08:54.4,8:55,5:05,2:21,1 mile,1/1/2019
887,M35-39,37,M,Londonderry,NH,9:38,08:54.5,8:55,5:05,4:19,1 mile,1/1/2019
888,F50-54,53,F,Manchester,NH,9:21,08:54.6,8:55,5:05,3:06,1 mile,1/1/2019
889,F55-59,59,F,Hooksett,NH,10:24,08:54.6,8:55,5:05,3:00,1 mile,1/1/2019
890,M13-19,14,M,Nashua,NH,10:15,08:54.8,8:55,5:05,4:49,1 mile,1/1/2019
891,F25-29,28,F,Manchester,NH,9:26,08:55.2,8:56,5:06,3:52,1 mile,1/1/2019
892,F55-59,59,F,Webster,NH,9:29,08:55.5,8:56,5:06,3:01,1 mile,1/1/2019
893,F35-39,39,F,Chester,NH,9:31,08:55.6,8:56,5:06,3:33,1 mile,1/1/2019
894,F25-29,29,F,Hudson,NH,9:27,08:55.7,8:56,5:06,3:52,1 mile,1/1/2019
895,F45-49,45,F,Pembroke,NH,9:13,08:56.3,8:57,5:07,2:23,1 mile,1/1/2019
896,M35-39,39,M,Nashua,NH,10:16,08:56.4,8:57,5:07,4:21,1 mile,1/1/2019
897,F25-29,28,F,Nottingham,NH,10:25,08:56.5,8:57,5:07,3:53,1 mile,1/1/2019
898,F40-44,44,F,Goffstown,NH,9:22,08:56.7,8:57,5:07,3:10,1 mile,1/1/2019
899,M40-44,41,M,Manchester,NH,9:22,08:56.9,8:57,5:07,4:42,1 mile,1/1/2019
900,M13-19,14,M,Jacksonville,FL,9:37,08:57.0,8:57,5:07,4:51,1 mile,1/1/2019
901,F45-49,49,F,Manchester,NH,9:33,08:57.2,8:58,5:08,2:24,1 mile,1/1/2019
902,F30-34,33,F,Weare,NH,10:25,08:57.3,8:58,5:08,3:45,1 mile,1/1/2019
903,F7,7,F,Candia,NH,9:38,08:57.7,8:58,5:08,1:33,1 mile,1/1/2019
904,F35-39,35,F,Merrimack,NH,10:28,08:57.8,8:58,5:08,3:35,1 mile,1/1/2019
905,F40-44,42,F,Londonderry,NH,9:33,08:58.6,8:59,5:09,3:12,1 mile,1/1/2019
906,F55-59,58,F,Fitchburg,MA,9:39,08:58.7,8:59,5:09,3:04,1 mile,1/1/2019
907,F45-49,45,F,Londonderry,NH,9:15,08:58.8,8:59,5:09,2:25,1 mile,1/1/2019
908,M60-64,61,M,Salem,NH,9:26,08:59.1,9:00,5:10,3:24,1 mile,1/1/2019
909,F9,9,F,Chelmsford,MA,9:27,08:59.2,9:00,5:10,2:23,1 mile,1/1/2019
910,F55-59,58,F,Bedford,NH,9:18,08:59.2,9:00,5:10,3:05,1 mile,1/1/2019
911,F7,7,F,Londonderry,NH,9:54,08:59.3,9:00,5:10,1:35,1 mile,1/1/2019
912,M6,6,M,Londonderry,NH,9:33,08:59.5,9:00,5:10,1:22,1 mile,1/1/2019
913,M45-49,45,M,Orange,MA,9:44,09:00.6,9:01,5:11,4:33,1 mile,1/1/2019
914,F13-19,18,F,New Boston,NH,9:52,09:00.9,9:01,5:11,3:57,1 mile,1/1/2019
915,M12,12,M,New London,NH,9:34,09:01.8,9:02,5:12,3:39,1 mile,1/1/2019
916,M9,9,M,Hudson,NH,10:11,09:02.2,9:03,5:13,3:28,1 mile,1/1/2019
917,F40-44,43,F,Hudson,NH,9:23,09:02.5,9:03,5:13,3:16,1 mile,1/1/2019
918,F60-64,64,F,Derry,NH,10:26,09:03.5,9:04,5:14,1:50,1 mile,1/1/2019
919,F55-59,56,F,Amherst,NH,9:17,09:03.7,9:04,5:14,3:09,1 mile,1/1/2019
920,F12,12,F,Candia,NH,9:46,09:03.8,9:04,5:14,3:03,1 mile,1/1/2019
921,F55-59,57,F,Manchester,NH,9:30,09:03.9,9:04,5:14,3:09,1 mile,1/1/2019
922,F12,12,F,Londonderry,NH,9:48,09:03.9,9:04,5:14,3:03,1 mile,1/1/2019
923,F55-59,59,F,Manchester,NH,9:05,09:04.5,9:05,5:15,3:10,1 mile,1/1/2019
924,F50-54,50,F,Manchester,NH,9:25,09:04.8,9:05,5:15,3:16,1 mile,1/1/2019
925,M55-59,56,M,Manchester,NH,9:39,09:05.7,9:06,5:16,3:49,1 mile,1/1/2019
926,F35-39,39,F,Windham,NH,10:06,09:05.8,9:06,5:16,3:43,1 mile,1/1/2019
927,F50-54,52,F,Manchester,NH,9:40,09:05.9,9:06,5:16,3:17,1 mile,1/1/2019
928,F55-59,59,F,Goffstown,NH,9:42,09:06.0,9:06,5:16,3:11,1 mile,1/1/2019
929,M10,10,M,Merrimack,NH,9:40,09:06.4,9:07,5:17,3:10,1 mile,1/1/2019
930,M45-49,49,M,Goffstown,NH,10:14,09:07.0,9:07,5:17,4:39,1 mile,1/1/2019
931,M55-59,58,M,Penacook,NH,9:40,09:07.3,9:08,5:18,3:51,1 mile,1/1/2019
932,F50-54,53,F,Milford,NH,9:20,09:07.3,9:08,5:18,3:19,1 mile,1/1/2019
933,F20-24,22,F,Milford,NH,10:14,09:07.4,9:08,5:18,3:51,1 mile,1/1/2019
934,F40-44,40,F,Goffstown,NH,10:14,09:07.5,9:08,5:18,3:21,1 mile,1/1/2019
935,F40-44,44,F,Exeter,NH,9:32,09:07.7,9:08,5:18,3:21,1 mile,1/1/2019
936,F50-54,50,F,Derry,NH,9:41,09:07.8,9:08,5:18,3:19,1 mile,1/1/2019
937,M35-39,36,M,Manchester,NH,10:54,09:08.1,9:09,5:19,4:33,1 mile,1/1/2019
938,F35-39,38,F,Medford,MA,9:43,09:08.8,9:09,5:19,3:46,1 mile,1/1/2019
939,M45-49,49,M,Nashua,NH,9:43,09:09.2,9:10,5:20,4:42,1 mile,1/1/2019
940,F8,8,F,Merrimack,NH,9:53,09:09.2,9:10,5:20,3:31,1 mile,1/1/2019
941,M55-59,59,M,Londonderry,NH,10:15,09:09.6,9:10,5:20,3:53,1 mile,1/1/2019
942,F30-34,33,F,Hudson,NH,10:18,09:09.6,9:10,5:20,3:57,1 mile,1/1/2019
943,M30-34,34,M,Merrimack,NH,9:53,09:09.7,9:10,5:20,4:56,1 mile,1/1/2019
944,F55-59,58,F,Londonderry,NH,10:15,09:09.8,9:10,5:20,3:15,1 mile,1/1/2019
945,M9,9,M,Goffstown,NH,10:02,09:10.0,9:10,5:20,3:35,1 mile,1/1/2019
946,F40-44,43,F,Hudson,NH,9:35,09:10.1,9:11,5:21,3:24,1 mile,1/1/2019
947,M40-44,43,M,Goffstown,NH,10:02,09:10.1,9:11,5:21,4:56,1 mile,1/1/2019
948,M9,9,M,Bedford,NH,9:53,09:10.5,9:11,5:21,3:36,1 mile,1/1/2019
949,F35-39,36,F,Bedford,NH,9:53,09:10.8,9:11,5:21,3:48,1 mile,1/1/2019
950,F40-44,40,F,Londonderry,NH,9:55,09:10.8,9:11,5:21,3:24,1 mile,1/1/2019
951,F55-59,56,F,Raymond,NH,9:43,09:11.7,9:12,5:22,3:17,1 mile,1/1/2019
952,F50-54,54,F,Amherst,NH,10:22,09:12.6,9:13,5:23,3:24,1 mile,1/1/2019
953,M50-54,52,M,New Boston,NH,10:03,09:13.2,9:14,5:24,4:40,1 mile,1/1/2019
954,F50-54,51,F,Nashua,NH,9:50,09:15.0,9:15,5:25,3:26,1 mile,1/1/2019
955,F30-34,34,F,Pelham,NH,10:11,09:15.1,9:16,5:26,4:03,1 mile,1/1/2019
956,M40-44,41,M,Merrimack,NH,10:24,09:15.7,9:16,5:26,5:01,1 mile,1/1/2019
957,F13-19,15,F,Londonderry,NH,9:51,09:16.0,9:16,5:26,4:12,1 mile,1/1/2019
958,F45-49,49,F,Andover,NH,9:48,09:16.0,9:16,5:26,2:42,1 mile,1/1/2019
959,F50-54,50,F,Londonderry,NH,10:06,09:16.4,9:17,5:27,3:28,1 mile,1/1/2019
960,F35-39,39,F,Londonderry,NH,10:00,09:16.4,9:17,5:27,3:54,1 mile,1/1/2019
961,F40-44,41,F,Merrimack,NH,10:24,09:16.4,9:17,5:27,3:30,1 mile,1/1/2019
962,F25-29,28,F,Methuen,MA,10:01,09:16.6,9:17,5:27,4:13,1 mile,1/1/2019
963,F25-29,29,F,Plaistow,NH,10:01,09:16.6,9:17,5:27,4:13,1 mile,1/1/2019
964,F13-19,13,F,Epping,NH,10:21,09:17.3,9:18,5:28,4:14,1 mile,1/1/2019
965,M50-54,50,M,Londonderry,NH,9:53,09:17.6,9:18,5:28,4:44,1 mile,1/1/2019
966,M40-44,41,M,Litchfield,NH,9:35,09:18.1,9:19,5:29,5:04,1 mile,1/1/2019
967,M70-UP,74,M,Hopkinton,NH,10:20,09:18.2,9:19,5:29,3:10,1 mile,1/1/2019
968,M9,9,M,Brookline,NH,9:43,09:18.5,9:19,5:29,3:44,1 mile,1/1/2019
969,F45-49,48,F,Haverhill,MA,9:48,09:18.8,9:19,5:29,2:45,1 mile,1/1/2019
970,M5,5,M,Weare,NH,10:36,09:19.1,9:20,5:30,0:55,1 mile,1/1/2019
971,F50-54,54,F,Manchester,NH,10:12,09:19.2,9:20,5:30,3:31,1 mile,1/1/2019
972,M35-39,36,M,Weare,NH,10:37,09:19.2,9:20,5:30,4:44,1 mile,1/1/2019
973,M45-49,48,M,Londonderry,NH,10:14,09:19.5,9:20,5:30,4:52,1 mile,1/1/2019
974,F25-29,25,F,Belmont,NH,9:27,09:19.6,9:20,5:30,4:16,1 mile,1/1/2019
975,F40-44,44,F,Hudson,NH,9:59,09:19.9,9:20,5:30,3:33,1 mile,1/1/2019
976,M45-49,45,M,Salem,NH,10:01,09:20.1,9:21,5:31,4:53,1 mile,1/1/2019
977,F35-39,39,F,Townsend,MA,9:51,09:20.9,9:21,5:31,3:58,1 mile,1/1/2019
978,F20-24,23,F,Boscawen,NH,9:59,09:20.9,9:21,5:31,4:04,1 mile,1/1/2019
979,F40-44,42,F,Townsend,MA,9:51,09:21.2,9:22,5:32,3:35,1 mile,1/1/2019
980,F55-59,55,F,Derry,NH,9:40,09:21.5,9:22,5:32,3:27,1 mile,1/1/2019
981,M30-34,34,M,Brookline,NH,10:54,09:21.9,9:22,5:32,5:08,1 mile,1/1/2019
982,F40-44,42,F,Candia,NH,10:03,09:22.1,9:23,5:33,3:36,1 mile,1/1/2019
983,F45-49,49,F,Merrimack,NH,9:52,09:22.2,9:23,5:33,2:49,1 mile,1/1/2019
984,F55-59,58,F,Milford,NH,9:37,09:22.2,9:23,5:33,3:28,1 mile,1/1/2019
985,F35-39,35,F,Milford,NH,9:37,09:22.4,9:23,5:33,4:00,1 mile,1/1/2019
986,F35-39,39,F,Medford,MA,9:30,09:22.5,9:23,5:33,4:00,1 mile,1/1/2019
987,F45-49,48,F,Manchester,NH,9:51,09:23.2,9:24,5:34,2:50,1 mile,1/1/2019
988,F20-24,21,F,Manchester,NH,9:50,09:23.3,9:24,5:34,4:07,1 mile,1/1/2019
989,M13-19,13,M,Bow,NH,10:17,09:23.4,9:24,5:34,5:18,1 mile,1/1/2019
990,M50-54,54,M,Hopkinton,NH,10:06,09:23.6,9:24,5:34,4:50,1 mile,1/1/2019
991,M55-59,56,M,Tilton,NH,10:17,09:24.0,9:24,5:34,4:07,1 mile,1/1/2019
992,M30-34,34,M,East Hampstead,NH,10:46,09:24.4,9:25,5:35,5:11,1 mile,1/1/2019
993,F30-34,33,F,Methuen,MA,10:05,09:24.5,9:25,5:35,4:12,1 mile,1/1/2019
994,F55-59,57,F,Merrimack,NH,10:12,09:24.5,9:25,5:35,3:30,1 mile,1/1/2019
995,F50-54,54,F,Hillsboro,NH,9:55,09:24.9,9:25,5:35,3:36,1 mile,1/1/2019
996,F30-34,34,F,East Hampstead,NH,10:47,09:25.6,9:26,5:36,4:13,1 mile,1/1/2019
997,M40-44,42,M,Milford,NH,11:00,09:26.0,9:26,5:36,5:11,1 mile,1/1/2019
998,M13-19,14,M,Milford,NH,11:01,09:26.6,9:27,5:37,5:21,1 mile,1/1/2019
999,F55-59,55,F,Londonderry,NH,10:03,09:26.9,9:27,5:37,3:32,1 mile,1/1/2019
1000,F35-39,39,F,Manchester,NH,10:48,09:27.4,9:28,5:38,4:05,1 mile,1/1/2019
1001,M6,6,M,Milford,NH,11:00,09:27.9,9:28,5:38,1:50,1 mile,1/1/2019
1002,M60-64,61,M,Manchester,NH,10:15,09:28.1,9:29,5:39,3:53,1 mile,1/1/2019
1003,M12,12,M,Nashua,NH,10:05,09:28.1,9:29,5:39,4:06,1 mile,1/1/2019
1004,F40-44,40,F,Orange,MA,10:16,09:28.7,9:29,5:39,3:42,1 mile,1/1/2019
1005,F35-39,39,F,Manchester,NH,9:46,09:29.0,9:29,5:39,4:06,1 mile,1/1/2019
1006,F7,7,F,Manchester,NH,9:46,09:29.2,9:30,5:40,2:05,1 mile,1/1/2019
1007,F55-59,55,F,Nottingham,NH,10:13,09:29.5,9:30,5:40,3:35,1 mile,1/1/2019
1008,F6,6,F,Londonderry,NH,9:41,09:29.9,9:30,5:40,1:11,1 mile,1/1/2019
1009,F50-54,52,F,Nashua,NH,9:31,09:30.2,9:31,5:41,3:42,1 mile,1/1/2019
1010,M45-49,49,M,Litchfield,NH,9:48,09:30.6,9:31,5:41,5:03,1 mile,1/1/2019
1011,F45-49,47,F,Newfields,NH,10:07,09:30.6,9:31,5:41,2:57,1 mile,1/1/2019
1012,F55-59,59,F,Derry,NH,10:16,09:31.1,9:32,5:42,3:37,1 mile,1/1/2019
1013,F20-24,23,F,Concord,NH,9:32,09:32.0,9:32,5:42,4:15,1 mile,1/1/2019
1014,M8,8,M,Concord,NH,10:18,09:33.0,9:33,5:43,2:29,1 mile,1/1/2019
1015,F50-54,50,F,Candia,NH,10:08,09:33.0,9:33,5:43,3:44,1 mile,1/1/2019
1016,F45-49,46,F,Gloucester,MA,10:27,09:33.0,9:33,5:43,2:59,1 mile,1/1/2019
1017,F8,8,F,Candia,NH,10:08,09:33.3,9:34,5:44,3:55,1 mile,1/1/2019
1018,M55-59,56,M,Hudson,NH,10:08,09:33.4,9:34,5:44,4:17,1 mile,1/1/2019
1019,F9,9,F,Gloucester,MA,10:27,09:33.4,9:34,5:44,2:57,1 mile,1/1/2019
1020,M40-44,41,M,Manchester,NH,10:01,09:33.6,9:34,5:44,5:19,1 mile,1/1/2019
1021,F20-24,21,F,Merrimack,NH,10:41,09:33.8,9:34,5:44,4:17,1 mile,1/1/2019
1022,F11,11,F,Concord,NH,10:20,09:33.9,9:34,5:44,4:12,1 mile,1/1/2019
1023,M50-54,54,M,Concord,NH,10:19,09:34.0,9:34,5:44,5:00,1 mile,1/1/2019
1024,F35-39,39,F,Manchester,NH,11:05,09:34.2,9:35,5:45,4:12,1 mile,1/1/2019
1025,F35-39,36,F,Hudson,NH,11:05,09:34.4,9:35,5:45,4:12,1 mile,1/1/2019
1026,F40-44,43,F,Merrimack,NH,10:11,09:34.8,9:35,5:45,3:48,1 mile,1/1/2019
1027,F50-54,50,F,Windham,NH,10:26,09:34.9,9:35,5:45,3:46,1 mile,1/1/2019
1028,F25-29,28,F,Greenland,NH,9:51,09:35.7,9:36,5:46,4:32,1 mile,1/1/2019
1029,F35-39,35,F,Nashua,NH,9:59,09:35.7,9:36,5:46,4:13,1 mile,1/1/2019
1030,F20-24,23,F,Hampton,NH,10:16,09:36.5,9:37,5:47,4:20,1 mile,1/1/2019
1031,M70-UP,72,M,Derry,NH,9:49,09:37.0,9:37,5:47,3:28,1 mile,1/1/2019
1032,M35-39,38,M,Candia,NH,9:38,09:37.4,9:38,5:48,5:02,1 mile,1/1/2019
1033,F65-69,66,F,Candia,NH,10:20,09:38.3,9:39,5:49,2:54,1 mile,1/1/2019
1034,M30-34,32,M,Andover,NH,10:21,09:38.6,9:39,5:49,5:25,1 mile,1/1/2019
1035,M65-69,69,M,Contoocook,NH,10:13,09:38.6,9:39,5:49,4:00,1 mile,1/1/2019
1036,F30-34,32,F,Contoocook,NH,10:13,09:38.6,9:39,5:49,4:26,1 mile,1/1/2019
1037,F60-64,64,F,Townsend,MA,10:09,09:38.7,9:39,5:49,2:25,1 mile,1/1/2019
